trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,encourage_A3,a,a,True,2335,1,11118,trainPhase
1,0,encourage_B0,b,a,False,1584,1,11118,trainPhase
2,0,encourage_B3,b,b,True,1099,1,11118,trainPhase
3,0,encourage_B1,b,a,False,1141,1,11118,trainPhase
4,0,encourage_A0,a,a,True,3251,1,11118,trainPhase
5,0,encourage_A2,a,a,True,1254,1,11118,trainPhase
6,0,encourage_B2,b,b,True,1357,1,11118,trainPhase
7,0,encourage_A1,a,a,True,847,1,11118,trainPhase
0,1,encourage_B2,b,b,True,1135,1,11118,trainPhase
1,1,encourage_B0,b,b,True,2424,1,11118,trainPhase
2,1,encourage_B3,b,b,True,768,1,11118,trainPhase
3,1,encourage_A2,a,a,True,689,1,11118,trainPhase
4,1,encourage_A1,a,a,True,785,1,11118,trainPhase
5,1,encourage_A0,a,a,True,670,1,11118,trainPhase
6,1,encourage_A3,a,a,True,725,1,11118,trainPhase
7,1,encourage_B1,b,a,False,824,1,11118,trainPhase
0,2,encourage_B3,b,b,True,945,1,11118,trainPhase
1,2,encourage_A0,a,a,True,1378,1,11118,trainPhase
2,2,encourage_A3,a,a,True,1153,1,11118,trainPhase
3,2,encourage_A2,a,a,True,806,1,11118,trainPhase
4,2,encourage_B0,b,b,True,1244,1,11118,trainPhase
5,2,encourage_A1,a,a,True,1252,1,11118,trainPhase
6,2,encourage_B1,b,b,True,1050,1,11118,trainPhase
7,2,encourage_B2,b,b,True,768,1,11118,trainPhase
0,3,encourage_B2,b,b,True,687,1,11118,trainPhase
1,3,encourage_A3,a,a,True,811,1,11118,trainPhase
2,3,encourage_B1,b,b,True,1321,1,11118,trainPhase
3,3,encourage_B0,b,b,True,988,1,11118,trainPhase
4,3,encourage_A2,a,a,True,1062,1,11118,trainPhase
5,3,encourage_A0,a,a,True,1012,1,11118,trainPhase
6,3,encourage_B3,b,b,True,830,1,11118,trainPhase
0,0,encourage_A3,a,a,True,1158,1,11118,subTestPhase
1,0,encourage_X2,x,a,False,862,1,11118,subTestPhase
2,0,encourage_X1,x,a,False,1081,1,11118,subTestPhase
3,0,encourage_X4,x,a,False,796,1,11118,subTestPhase
4,0,encourage_B0,b,b,True,864,1,11118,subTestPhase
5,0,encourage_A1,a,a,True,872,1,11118,subTestPhase
6,0,encourage_X6,x,a,False,698,1,11118,subTestPhase
7,0,encourage_X3,x,a,False,716,1,11118,subTestPhase
8,0,encourage_B2,b,b,True,839,1,11118,subTestPhase
9,0,encourage_X0,x,a,False,894,1,11118,subTestPhase
10,0,encourage_X5,x,a,False,686,1,11118,subTestPhase
11,0,encourage_B3,b,b,True,782,1,11118,subTestPhase
12,0,encourage_X8,x,a,False,789,1,11118,subTestPhase
13,0,encourage_A2,a,a,True,949,1,11118,subTestPhase
14,0,encourage_A0,a,a,True,847,1,11118,subTestPhase
15,0,encourage_X7,x,a,False,790,1,11118,subTestPhase
16,0,encourage_B1,b,b,True,1184,1,11118,subTestPhase
0,0,encourage_X0,x,a,False,2031,1,11118,testPhase
1,0,encourage_W7,w,a,False,2041,1,11118,testPhase
2,0,encourage_Z8,z,a,False,1612,1,11118,testPhase
3,0,encourage_B2,b,b,True,1106,1,11118,testPhase
4,0,encourage_Z7,z,a,False,1971,1,11118,testPhase
5,0,encourage_X5,x,a,False,750,1,11118,testPhase
6,0,encourage_A0,a,a,True,1018,1,11118,testPhase
7,0,encourage_Y6,y,b,False,1260,1,11118,testPhase
8,0,encourage_Y8,y,b,False,793,1,11118,testPhase
9,0,encourage_Z6,z,a,False,1231,1,11118,testPhase
10,0,encourage_W2,w,a,False,1302,1,11118,testPhase
11,0,encourage_Y3,y,b,False,1382,1,11118,testPhase
12,0,encourage_B0,b,b,True,953,1,11118,testPhase
13,0,encourage_X3,x,a,False,987,1,11118,testPhase
14,0,encourage_W6,w,b,False,2911,1,11118,testPhase
15,0,encourage_X4,x,a,False,766,1,11118,testPhase
16,0,encourage_Y0,y,b,False,876,1,11118,testPhase
17,0,encourage_Y2,y,b,False,638,1,11118,testPhase
18,0,encourage_Z4,z,a,False,1774,1,11118,testPhase
19,0,encourage_Z1,z,a,False,926,1,11118,testPhase
20,0,encourage_Z3,z,a,False,1149,1,11118,testPhase
21,0,encourage_Y1,y,b,False,856,1,11118,testPhase
22,0,encourage_X1,x,a,False,697,1,11118,testPhase
23,0,encourage_Y5,y,b,False,918,1,11118,testPhase
24,0,encourage_X8,x,a,False,470,1,11118,testPhase
25,0,encourage_Y4,y,b,False,718,1,11118,testPhase
26,0,encourage_W3,w,b,False,2412,1,11118,testPhase
27,0,encourage_A1,a,a,True,790,1,11118,testPhase
28,0,encourage_W1,w,a,False,1454,1,11118,testPhase
29,0,encourage_A3,a,a,True,1599,1,11118,testPhase
30,0,encourage_X7,x,a,False,646,1,11118,testPhase
31,0,encourage_W0,w,a,False,1191,1,11118,testPhase
32,0,encourage_Y7,y,b,False,1033,1,11118,testPhase
33,0,encourage_X6,x,a,False,1510,1,11118,testPhase
34,0,encourage_Z5,z,a,False,1414,1,11118,testPhase
35,0,encourage_W8,w,a,False,1222,1,11118,testPhase
36,0,encourage_W4,w,a,False,1062,1,11118,testPhase
37,0,encourage_A2,a,a,True,1030,1,11118,testPhase
38,0,encourage_W5,w,a,False,1829,1,11118,testPhase
39,0,encourage_Z2,z,b,False,2206,1,11118,testPhase
40,0,encourage_B1,b,b,True,821,1,11118,testPhase
41,0,encourage_B3,b,b,True,642,1,11118,testPhase
42,0,encourage_X2,x,a,False,805,1,11118,testPhase
43,0,encourage_Z0,z,a,False,1179,1,11118,testPhase
0,0,encourage_B0,b,b,True,2892,1,11231,trainPhase
1,0,encourage_A1,a,b,False,1421,1,11231,trainPhase
2,0,encourage_A2,a,b,False,1251,1,11231,trainPhase
3,0,encourage_B2,b,a,False,1310,1,11231,trainPhase
4,0,encourage_B1,b,a,False,1743,1,11231,trainPhase
